CP_FILE_NAME: all2all_8
HOST: nico3
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NODE_NUM: 1
NTASK_PER_NODE: 8
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,0]]
MIXED_P2P_NUM: 6561
22220000: time 0.565187 s, REAL_BD 17.693259 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00001000: time 0.579958 s, REAL_BD 17.242628 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10001000: time 0.725534 s, REAL_BD 13.782952 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20001000: time 0.571246 s, REAL_BD 17.505593 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01001000: time 1.054493 s, REAL_BD 9.483230 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11001000: time 1.847614 s, REAL_BD 5.412386 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21001000: time 1.041224 s, REAL_BD 9.604081 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02001000: time 0.574397 s, REAL_BD 17.409562 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12001000: time 0.698128 s, REAL_BD 14.324021 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22001000: time 0.570324 s, REAL_BD 17.533893 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00101000: time 0.582172 s, REAL_BD 17.177054 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10101000: time 0.575677 s, REAL_BD 17.370852 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20101000: time 0.570428 s, REAL_BD 17.530696 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01101000: time 1.059191 s, REAL_BD 9.441168 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11101000: time 1.853412 s, REAL_BD 5.395454 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21101000: time 1.050195 s, REAL_BD 9.522041 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02101000: time 0.571156 s, REAL_BD 17.508351 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12101000: time 0.705342 s, REAL_BD 14.177520 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22101000: time 0.560043 s, REAL_BD 17.855772 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00201000: time 0.573306 s, REAL_BD 17.442692 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10201000: time 0.723636 s, REAL_BD 13.819102 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20201000: time 0.560728 s, REAL_BD 17.833959 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01201000: time 0.950289 s, REAL_BD 10.523115 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11201000: time 1.755689 s, REAL_BD 5.695770 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21201000: time 0.970147 s, REAL_BD 10.307716 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02201000: time 0.563880 s, REAL_BD 17.734270 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12201000: time 0.704966 s, REAL_BD 14.185081 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22201000: time 0.552188 s, REAL_BD 18.109774 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00011000: time 1.465504 s, REAL_BD 6.823591 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10011000: time 1.457453 s, REAL_BD 6.861285 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20011000: time 1.445275 s, REAL_BD 6.919098 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01011000: time 2.327554 s, REAL_BD 4.296356 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11011000: time 2.319420 s, REAL_BD 4.311423 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21011000: time 2.337413 s, REAL_BD 4.278234 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02011000: time 1.835288 s, REAL_BD 5.448736 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12011000: time 1.828469 s, REAL_BD 5.469056 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22011000: time 1.818830 s, REAL_BD 5.498040 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00111000: time 1.747078 s, REAL_BD 5.723843 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10111000: time 1.745701 s, REAL_BD 5.728358 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20111000: time 1.729744 s, REAL_BD 5.781202 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01111000: time 2.103795 s, REAL_BD 4.753315 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11111000: time 2.058284 s, REAL_BD 4.858416 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21111000: time 2.113282 s, REAL_BD 4.731976 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02111000: time 1.436504 s, REAL_BD 6.961345 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12111000: time 1.436094 s, REAL_BD 6.963332 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22111000: time 1.433197 s, REAL_BD 6.977408 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00211000: time 1.214457 s, REAL_BD 8.234133 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10211000: time 1.205262 s, REAL_BD 8.296951 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20211000: time 1.207627 s, REAL_BD 8.280703 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01211000: time 1.088332 s, REAL_BD 9.188373 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11211000: time 1.754566 s, REAL_BD 5.699415 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21211000: time 1.101416 s, REAL_BD 9.079222 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02211000: time 1.251055 s, REAL_BD 7.993254 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12211000: time 1.242768 s, REAL_BD 8.046554 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22211000: time 1.258763 s, REAL_BD 7.944307 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00021000: time 0.483618 s, REAL_BD 20.677477 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10021000: time 0.724315 s, REAL_BD 13.806148 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20021000: time 0.483192 s, REAL_BD 20.695707 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01021000: time 1.019655 s, REAL_BD 9.807239 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11021000: time 1.835194 s, REAL_BD 5.449015 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21021000: time 1.013962 s, REAL_BD 9.862303 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02021000: time 0.545425 s, REAL_BD 18.334326 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12021000: time 0.607757 s, REAL_BD 16.453945 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22021000: time 0.488249 s, REAL_BD 20.481353 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00121000: time 0.521266 s, REAL_BD 19.184063 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10121000: time 0.483894 s, REAL_BD 20.665683 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20121000: time 0.487933 s, REAL_BD 20.494617 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01121000: time 1.010963 s, REAL_BD 9.891559 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11121000: time 1.826851 s, REAL_BD 5.473900 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
