HOST: g3017
CP_FILE_NAME: small
HOST: g3017
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NNODES: 1
NTASK_PER_NODE: 8
COMM_MODULE: raw-nccl
+ srun -p rag -N 1 --ntasks-per-node 8 --gres=gpu:8 --mem 256G -K -w g3017 -c 16 ./scripts/executor.sh python conflict_bench.py --backend NCCL --config ./scripts/configs/small_8.json --comm-module raw-nccl
NCCL version 2.18.6+cuda11.8
[INFO]: Cluster init done !!!
[[0, 1]]
NCCL version 2.21.5+cuda11.8
SIZE 536870912, REAL_BD 256.158 GB/s, BD/PAIR 256.158 GB/s, time 0.2096 s, comm_vol 53.687 GB
SIZE 671088640, REAL_BD 256.734 GB/s, BD/PAIR 256.734 GB/s, time 0.2614 s, comm_vol 67.109 GB
SIZE 805306368, REAL_BD 257.094 GB/s, BD/PAIR 257.094 GB/s, time 0.3132 s, comm_vol 80.531 GB
SIZE 939524096, REAL_BD 257.274 GB/s, BD/PAIR 257.274 GB/s, time 0.3652 s, comm_vol 93.952 GB
SIZE 1073741824, REAL_BD 257.524 GB/s, BD/PAIR 257.524 GB/s, time 0.4169 s, comm_vol 107.374 GB
[[0, 1], [1, 0]]
SIZE 8192, REAL_BD 403.402 MB/s, BD/PAIR 201.701 MB/s, time 0.0041 s, comm_vol 1.638 MB
SIZE 16384, REAL_BD 921.173 MB/s, BD/PAIR 460.586 MB/s, time 0.0036 s, comm_vol 3.277 MB
SIZE 24576, REAL_BD 2.852 GB/s, BD/PAIR 1.426 GB/s, time 0.0017 s, comm_vol 4.915 MB
SIZE 32768, REAL_BD 3.684 GB/s, BD/PAIR 1.842 GB/s, time 0.0018 s, comm_vol 6.554 MB
SIZE 40960, REAL_BD 4.491 GB/s, BD/PAIR 2.245 GB/s, time 0.0018 s, comm_vol 8.192 MB
SIZE 49152, REAL_BD 5.342 GB/s, BD/PAIR 2.671 GB/s, time 0.0018 s, comm_vol 9.83 MB
SIZE 57344, REAL_BD 6.048 GB/s, BD/PAIR 3.024 GB/s, time 0.0019 s, comm_vol 11.469 MB
SIZE 65536, REAL_BD 6.961 GB/s, BD/PAIR 3.48 GB/s, time 0.0019 s, comm_vol 13.107 MB
SIZE 81920, REAL_BD 8.541 GB/s, BD/PAIR 4.27 GB/s, time 0.0019 s, comm_vol 16.384 MB
SIZE 98304, REAL_BD 9.593 GB/s, BD/PAIR 4.797 GB/s, time 0.002 s, comm_vol 19.661 MB
SIZE 114688, REAL_BD 10.823 GB/s, BD/PAIR 5.412 GB/s, time 0.0021 s, comm_vol 22.938 MB
SIZE 131072, REAL_BD 12.116 GB/s, BD/PAIR 6.058 GB/s, time 0.0022 s, comm_vol 26.214 MB
SIZE 163840, REAL_BD 15.707 GB/s, BD/PAIR 7.854 GB/s, time 0.0021 s, comm_vol 32.768 MB
SIZE 196608, REAL_BD 17.927 GB/s, BD/PAIR 8.963 GB/s, time 0.0022 s, comm_vol 39.322 MB
SIZE 229376, REAL_BD 22.301 GB/s, BD/PAIR 11.151 GB/s, time 0.0021 s, comm_vol 45.875 MB
SIZE 262144, REAL_BD 23.84 GB/s, BD/PAIR 11.92 GB/s, time 0.0022 s, comm_vol 52.429 MB
SIZE 327680, REAL_BD 29.762 GB/s, BD/PAIR 14.881 GB/s, time 0.0022 s, comm_vol 65.536 MB
SIZE 393216, REAL_BD 36.077 GB/s, BD/PAIR 18.039 GB/s, time 0.0022 s, comm_vol 78.643 MB
SIZE 458752, REAL_BD 43.036 GB/s, BD/PAIR 21.518 GB/s, time 0.0021 s, comm_vol 91.75 MB
SIZE 524288, REAL_BD 48.277 GB/s, BD/PAIR 24.139 GB/s, time 0.0022 s, comm_vol 104.858 MB
SIZE 655360, REAL_BD 59.678 GB/s, BD/PAIR 29.839 GB/s, time 0.0022 s, comm_vol 131.072 MB
SIZE 786432, REAL_BD 70.587 GB/s, BD/PAIR 35.294 GB/s, time 0.0022 s, comm_vol 157.286 MB
SIZE 917504, REAL_BD 84.015 GB/s, BD/PAIR 42.007 GB/s, time 0.0022 s, comm_vol 183.501 MB
SIZE 1048576, REAL_BD 90.207 GB/s, BD/PAIR 45.104 GB/s, time 0.0023 s, comm_vol 209.715 MB
SIZE 1310720, REAL_BD 105.317 GB/s, BD/PAIR 52.659 GB/s, time 0.0025 s, comm_vol 262.144 MB
SIZE 1572864, REAL_BD 123.264 GB/s, BD/PAIR 61.632 GB/s, time 0.0026 s, comm_vol 314.573 MB
SIZE 1835008, REAL_BD 139.355 GB/s, BD/PAIR 69.678 GB/s, time 0.0026 s, comm_vol 367.002 MB
SIZE 2097152, REAL_BD 155.12 GB/s, BD/PAIR 77.56 GB/s, time 0.0027 s, comm_vol 419.43 MB
SIZE 2621440, REAL_BD 177.241 GB/s, BD/PAIR 88.62 GB/s, time 0.003 s, comm_vol 524.288 MB
SIZE 3145728, REAL_BD 200.108 GB/s, BD/PAIR 100.054 GB/s, time 0.0031 s, comm_vol 629.146 MB
SIZE 3670016, REAL_BD 215.425 GB/s, BD/PAIR 107.712 GB/s, time 0.0034 s, comm_vol 734.003 MB
SIZE 4194304, REAL_BD 229.723 GB/s, BD/PAIR 114.861 GB/s, time 0.0037 s, comm_vol 838.861 MB
SIZE 5242880, REAL_BD 253.431 GB/s, BD/PAIR 126.716 GB/s, time 0.0041 s, comm_vol 1.049 GB
SIZE 6291456, REAL_BD 269.145 GB/s, BD/PAIR 134.572 GB/s, time 0.0047 s, comm_vol 1.258 GB
SIZE 7340032, REAL_BD 283.067 GB/s, BD/PAIR 141.533 GB/s, time 0.0052 s, comm_vol 1.468 GB
SIZE 8388608, REAL_BD 294.048 GB/s, BD/PAIR 147.024 GB/s, time 0.0057 s, comm_vol 1.678 GB
SIZE 10485760, REAL_BD 297.961 GB/s, BD/PAIR 148.98 GB/s, time 0.007 s, comm_vol 2.097 GB
SIZE 12582912, REAL_BD 318.008 GB/s, BD/PAIR 159.004 GB/s, time 0.0079 s, comm_vol 2.517 GB
SIZE 14680064, REAL_BD 328.58 GB/s, BD/PAIR 164.29 GB/s, time 0.0089 s, comm_vol 2.936 GB
SIZE 16777216, REAL_BD 344.287 GB/s, BD/PAIR 172.143 GB/s, time 0.0097 s, comm_vol 3.355 GB
SIZE 20971520, REAL_BD 349.128 GB/s, BD/PAIR 174.564 GB/s, time 0.012 s, comm_vol 4.194 GB
SIZE 25165824, REAL_BD 361.88 GB/s, BD/PAIR 180.94 GB/s, time 0.0139 s, comm_vol 5.033 GB
