CP_FILE_NAME: all2all_4
HOST: nico4
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 4
PROC_NUM: 4
NODE_NUM: 1
NTASK_PER_NODE: 4
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,0]]
MIXED_P2P_NUM: 256
2101: time 1.600491 s, REAL_BD 3.124041 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3101: time 1.579059 s, REAL_BD 3.166443 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0201: time 1.390881 s, REAL_BD 3.594844 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1201: time 1.379842 s, REAL_BD 3.623603 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2201: time 1.278499 s, REAL_BD 3.910836 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3201: time 1.382181 s, REAL_BD 3.617471 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0301: time 1.592222 s, REAL_BD 3.140266 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1301: time 1.576146 s, REAL_BD 3.172295 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2301: time 1.600396 s, REAL_BD 3.124227 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3301: time 1.577720 s, REAL_BD 3.169130 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0011: time 0.874122 s, REAL_BD 5.720025 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1011: time 0.866705 s, REAL_BD 5.768976 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2011: time 0.769119 s, REAL_BD 6.500945 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3011: time 0.863429 s, REAL_BD 5.790864 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0111: time 1.577880 s, REAL_BD 3.168809 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1111: time 1.531615 s, REAL_BD 3.264528 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2111: time 1.585191 s, REAL_BD 3.154194 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3111: time 1.531680 s, REAL_BD 3.264389 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0211: time 1.191875 s, REAL_BD 4.195071 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1211: time 1.189170 s, REAL_BD 4.204613 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2211: time 1.087727 s, REAL_BD 4.596742 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3211: time 1.184122 s, REAL_BD 4.222538 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0311: time 1.577530 s, REAL_BD 3.169512 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1311: time 1.531369 s, REAL_BD 3.265052 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2311: time 1.565634 s, REAL_BD 3.193594 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3311: time 1.532405 s, REAL_BD 3.262845 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0021: time 0.837786 s, REAL_BD 5.968111 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1021: time 0.824118 s, REAL_BD 6.067092 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2021: time 0.737033 s, REAL_BD 6.783957 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3021: time 0.828831 s, REAL_BD 6.032593 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0121: time 1.572865 s, REAL_BD 3.178912 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1121: time 1.586494 s, REAL_BD 3.151603 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2121: time 0.715098 s, REAL_BD 6.992049 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3121: time 1.554790 s, REAL_BD 3.215868 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0221: time 0.986310 s, REAL_BD 5.069400 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1221: time 0.978988 s, REAL_BD 5.107315 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2221: time 0.888875 s, REAL_BD 5.625088 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3221: time 0.979703 s, REAL_BD 5.103588 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0321: time 1.562453 s, REAL_BD 3.200096 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1321: time 1.586380 s, REAL_BD 3.151830 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2321: time 0.715494 s, REAL_BD 6.988179 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3321: time 1.552754 s, REAL_BD 3.220085 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0031: time 0.872541 s, REAL_BD 5.730390 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1031: time 0.865893 s, REAL_BD 5.774386 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2031: time 0.769865 s, REAL_BD 6.494645 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3031: time 0.868144 s, REAL_BD 5.759413 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0131: time 1.576983 s, REAL_BD 3.170611 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1131: time 1.531674 s, REAL_BD 3.264402 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2131: time 1.531657 s, REAL_BD 3.264438 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3131: time 1.529007 s, REAL_BD 3.270096 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0231: time 1.195821 s, REAL_BD 4.181228 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1231: time 1.184987 s, REAL_BD 4.219456 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2231: time 1.078531 s, REAL_BD 4.635935 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3231: time 1.188951 s, REAL_BD 4.205388 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0331: time 1.579560 s, REAL_BD 3.165438 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1331: time 1.529211 s, REAL_BD 3.269660 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2331: time 1.507513 s, REAL_BD 3.316721 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3331: time 1.531550 s, REAL_BD 3.264667 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0002: time 0.573292 s, REAL_BD 8.721559 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1002: time 0.483480 s, REAL_BD 10.341689 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2002: time 0.454849 s, REAL_BD 10.992659 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3002: time 0.480955 s, REAL_BD 10.395983 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0102: time 1.375074 s, REAL_BD 3.636168 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1102: time 1.198652 s, REAL_BD 4.171352 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2102: time 0.979713 s, REAL_BD 5.103535 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3102: time 1.171728 s, REAL_BD 4.267202 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0202: time 0.462585 s, REAL_BD 10.808824 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1202: time 0.592679 s, REAL_BD 8.436270 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2202: time 0.588621 s, REAL_BD 8.494430 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3202: time 0.591322 s, REAL_BD 8.455630 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0302: time 1.365997 s, REAL_BD 3.660330 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1302: time 1.196053 s, REAL_BD 4.180417 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2302: time 0.994338 s, REAL_BD 5.028471 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3302: time 1.170155 s, REAL_BD 4.272938 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0012: time 0.570227 s, REAL_BD 8.768438 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1012: time 0.484117 s, REAL_BD 10.328082 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2012: time 0.381877 s, REAL_BD 13.093221 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
