make -C csrc
make[1]: Entering directory '/home/yhy/fold/comm_test/csrc'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/yhy/fold/comm_test/csrc'
GPU_NUM: 4
CUDA_VISIBLE_DEVICES: 
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
BRUCK: 0.004719 s, REAL_BD 0.776035 GB/s, SIZE 0.000977 GB, comm_vol 0.003662 GB
BRUCK: 0.006400 s, REAL_BD 1.144409 GB/s, SIZE 0.001953 GB, comm_vol 0.007324 GB
BRUCK: 0.010040 s, REAL_BD 1.459008 GB/s, SIZE 0.003906 GB, comm_vol 0.014648 GB
BRUCK: 0.016367 s, REAL_BD 1.789997 GB/s, SIZE 0.007812 GB, comm_vol 0.029297 GB
BRUCK: 0.029308 s, REAL_BD 1.999241 GB/s, SIZE 0.015625 GB, comm_vol 0.058594 GB
BRUCK: 0.054835 s, REAL_BD 2.137093 GB/s, SIZE 0.031250 GB, comm_vol 0.117188 GB
BRUCK: 0.105190 s, REAL_BD 2.228111 GB/s, SIZE 0.062500 GB, comm_vol 0.234375 GB
BRUCK: 0.195806 s, REAL_BD 2.393951 GB/s, SIZE 0.125000 GB, comm_vol 0.468750 GB
BRUCK: 0.383623 s, REAL_BD 2.443806 GB/s, SIZE 0.250000 GB, comm_vol 0.937500 GB
BRUCK: 0.758787 s, REAL_BD 2.471049 GB/s, SIZE 0.500000 GB, comm_vol 1.875000 GB
BRUCK: 1.512150 s, REAL_BD 2.479913 GB/s, SIZE 1.000000 GB, comm_vol 3.750000 GB
BRUCK: 3.018902 s, REAL_BD 2.484347 GB/s, SIZE 2.000000 GB, comm_vol 7.500000 GB
BRUCK: 6.033143 s, REAL_BD 2.486266 GB/s, SIZE 4.000000 GB, comm_vol 15.000000 GB
BRUCK: 12.068393 s, REAL_BD 2.485832 GB/s, SIZE 8.000000 GB, comm_vol 30.000000 GB
RD: 0.003149 s, REAL_BD 0.001136 GB/s, SIZE 0.000001 GB, comm_vol 0.000004 GB
RD: 0.003127 s, REAL_BD 0.002287 GB/s, SIZE 0.000002 GB, comm_vol 0.000007 GB
RD: 0.003205 s, REAL_BD 0.004463 GB/s, SIZE 0.000004 GB, comm_vol 0.000014 GB
RD: 0.003109 s, REAL_BD 0.009202 GB/s, SIZE 0.000008 GB, comm_vol 0.000029 GB
RD: 0.003094 s, REAL_BD 0.018494 GB/s, SIZE 0.000015 GB, comm_vol 0.000057 GB
RD: 0.003115 s, REAL_BD 0.036739 GB/s, SIZE 0.000031 GB, comm_vol 0.000114 GB
RD: 0.003267 s, REAL_BD 0.070059 GB/s, SIZE 0.000061 GB, comm_vol 0.000229 GB
RD: 0.003174 s, REAL_BD 0.144223 GB/s, SIZE 0.000122 GB, comm_vol 0.000458 GB
RD: 0.003501 s, REAL_BD 0.261505 GB/s, SIZE 0.000244 GB, comm_vol 0.000916 GB
RD: 0.003882 s, REAL_BD 0.471678 GB/s, SIZE 0.000488 GB, comm_vol 0.001831 GB
RD: 0.004787 s, REAL_BD 0.765011 GB/s, SIZE 0.000977 GB, comm_vol 0.003662 GB
RD: 0.006517 s, REAL_BD 1.123864 GB/s, SIZE 0.001953 GB, comm_vol 0.007324 GB
RD: 0.008460 s, REAL_BD 1.731494 GB/s, SIZE 0.003906 GB, comm_vol 0.014648 GB
RD: 0.013998 s, REAL_BD 2.092933 GB/s, SIZE 0.007812 GB, comm_vol 0.029297 GB
RD: 0.024618 s, REAL_BD 2.380118 GB/s, SIZE 0.015625 GB, comm_vol 0.058594 GB
RD: 0.076063 s, REAL_BD 1.540664 GB/s, SIZE 0.031250 GB, comm_vol 0.117188 GB
RD: 0.111153 s, REAL_BD 2.108580 GB/s, SIZE 0.062500 GB, comm_vol 0.234375 GB
RD: 0.197288 s, REAL_BD 2.375968 GB/s, SIZE 0.125000 GB, comm_vol 0.468750 GB
RD: 0.335322 s, REAL_BD 2.795820 GB/s, SIZE 0.250000 GB, comm_vol 0.937500 GB
RD: 0.640355 s, REAL_BD 2.928063 GB/s, SIZE 0.500000 GB, comm_vol 1.875000 GB
RD: 1.244252 s, REAL_BD 3.013859 GB/s, SIZE 1.000000 GB, comm_vol 3.750000 GB
RD: 2.462416 s, REAL_BD 3.045789 GB/s, SIZE 2.000000 GB, comm_vol 7.500000 GB
RD: 4.892238 s, REAL_BD 3.066081 GB/s, SIZE 4.000000 GB, comm_vol 15.000000 GB
RD: 9.768955 s, REAL_BD 3.070953 GB/s, SIZE 8.000000 GB, comm_vol 30.000000 GB
2DMESH: 0.009584 s, REAL_BD 0.000373 GB/s, SIZE 0.000001 GB, comm_vol 0.000004 GB
2DMESH: 0.004219 s, REAL_BD 0.001695 GB/s, SIZE 0.000002 GB, comm_vol 0.000007 GB
2DMESH: 0.009116 s, REAL_BD 0.001569 GB/s, SIZE 0.000004 GB, comm_vol 0.000014 GB
2DMESH: 0.004472 s, REAL_BD 0.006398 GB/s, SIZE 0.000008 GB, comm_vol 0.000029 GB
2DMESH: 0.009027 s, REAL_BD 0.006339 GB/s, SIZE 0.000015 GB, comm_vol 0.000057 GB
2DMESH: 0.004696 s, REAL_BD 0.024370 GB/s, SIZE 0.000031 GB, comm_vol 0.000114 GB
2DMESH: 0.013384 s, REAL_BD 0.017101 GB/s, SIZE 0.000061 GB, comm_vol 0.000229 GB
2DMESH: 0.005395 s, REAL_BD 0.084850 GB/s, SIZE 0.000122 GB, comm_vol 0.000458 GB
2DMESH: 0.004986 s, REAL_BD 0.183620 GB/s, SIZE 0.000244 GB, comm_vol 0.000916 GB
2DMESH: 0.005258 s, REAL_BD 0.348242 GB/s, SIZE 0.000488 GB, comm_vol 0.001831 GB
2DMESH: 0.005992 s, REAL_BD 0.611166 GB/s, SIZE 0.000977 GB, comm_vol 0.003662 GB
2DMESH: 0.010903 s, REAL_BD 0.671762 GB/s, SIZE 0.001953 GB, comm_vol 0.007324 GB
2DMESH: 0.009670 s, REAL_BD 1.514833 GB/s, SIZE 0.003906 GB, comm_vol 0.014648 GB
2DMESH: 0.014775 s, REAL_BD 1.982868 GB/s, SIZE 0.007812 GB, comm_vol 0.029297 GB
2DMESH: 0.025462 s, REAL_BD 2.301223 GB/s, SIZE 0.015625 GB, comm_vol 0.058594 GB
2DMESH: 0.053507 s, REAL_BD 2.190134 GB/s, SIZE 0.031250 GB, comm_vol 0.117188 GB
2DMESH: 0.080534 s, REAL_BD 2.910262 GB/s, SIZE 0.062500 GB, comm_vol 0.234375 GB
2DMESH: 0.159658 s, REAL_BD 2.935963 GB/s, SIZE 0.125000 GB, comm_vol 0.468750 GB
2DMESH: 0.306854 s, REAL_BD 3.055199 GB/s, SIZE 0.250000 GB, comm_vol 0.937500 GB
2DMESH: 0.617558 s, REAL_BD 3.036152 GB/s, SIZE 0.500000 GB, comm_vol 1.875000 GB
2DMESH: 1.205542 s, REAL_BD 3.110634 GB/s, SIZE 1.000000 GB, comm_vol 3.750000 GB
2DMESH: 2.410250 s, REAL_BD 3.111710 GB/s, SIZE 2.000000 GB, comm_vol 7.500000 GB
2DMESH: 4.807865 s, REAL_BD 3.119888 GB/s, SIZE 4.000000 GB, comm_vol 15.000000 GB
2DMESH: 9.618007 s, REAL_BD 3.119149 GB/s, SIZE 8.000000 GB, comm_vol 30.000000 GB
3DMESH: 0.010317 s, REAL_BD 0.000347 GB/s, SIZE 0.000001 GB, comm_vol 0.000004 GB
3DMESH: 0.010427 s, REAL_BD 0.000686 GB/s, SIZE 0.000002 GB, comm_vol 0.000007 GB
3DMESH: 0.010343 s, REAL_BD 0.001383 GB/s, SIZE 0.000004 GB, comm_vol 0.000014 GB
3DMESH: 0.010362 s, REAL_BD 0.002761 GB/s, SIZE 0.000008 GB, comm_vol 0.000029 GB
3DMESH: 0.010368 s, REAL_BD 0.005519 GB/s, SIZE 0.000015 GB, comm_vol 0.000057 GB
3DMESH: 0.010416 s, REAL_BD 0.010987 GB/s, SIZE 0.000031 GB, comm_vol 0.000114 GB
3DMESH: 0.010397 s, REAL_BD 0.022014 GB/s, SIZE 0.000061 GB, comm_vol 0.000229 GB
3DMESH: 0.010448 s, REAL_BD 0.043814 GB/s, SIZE 0.000122 GB, comm_vol 0.000458 GB
3DMESH: 0.010348 s, REAL_BD 0.088474 GB/s, SIZE 0.000244 GB, comm_vol 0.000916 GB
3DMESH: 0.010415 s, REAL_BD 0.175809 GB/s, SIZE 0.000488 GB, comm_vol 0.001831 GB
3DMESH: 0.011143 s, REAL_BD 0.328647 GB/s, SIZE 0.000977 GB, comm_vol 0.003662 GB
3DMESH: 0.012875 s, REAL_BD 0.568871 GB/s, SIZE 0.001953 GB, comm_vol 0.007324 GB
3DMESH: 0.015221 s, REAL_BD 0.962383 GB/s, SIZE 0.003906 GB, comm_vol 0.014648 GB
3DMESH: 0.020125 s, REAL_BD 1.455745 GB/s, SIZE 0.007812 GB, comm_vol 0.029297 GB
3DMESH: 0.033250 s, REAL_BD 1.762218 GB/s, SIZE 0.015625 GB, comm_vol 0.058594 GB
3DMESH: 0.059809 s, REAL_BD 1.959362 GB/s, SIZE 0.031250 GB, comm_vol 0.117188 GB
3DMESH: 0.112946 s, REAL_BD 2.075107 GB/s, SIZE 0.062500 GB, comm_vol 0.234375 GB
3DMESH: 0.184272 s, REAL_BD 2.543794 GB/s, SIZE 0.125000 GB, comm_vol 0.468750 GB
3DMESH: 0.358797 s, REAL_BD 2.612898 GB/s, SIZE 0.250000 GB, comm_vol 0.937500 GB
3DMESH: 0.706504 s, REAL_BD 2.653913 GB/s, SIZE 0.500000 GB, comm_vol 1.875000 GB
3DMESH: 1.404331 s, REAL_BD 2.670311 GB/s, SIZE 1.000000 GB, comm_vol 3.750000 GB
3DMESH: 2.797037 s, REAL_BD 2.681409 GB/s, SIZE 2.000000 GB, comm_vol 7.500000 GB
3DMESH: 5.592013 s, REAL_BD 2.682397 GB/s, SIZE 4.000000 GB, comm_vol 15.000000 GB
3DMESH: 11.166376 s, REAL_BD 2.686637 GB/s, SIZE 8.000000 GB, comm_vol 30.000000 GB
GPU_NUM: 8
CUDA_VISIBLE_DEVICES: 
